lead_id,company,industry,source,budget,engagement_score,status,created_date,salesperson
LEAD-00030,Velocity Global,Media & Entertainment,Organic Search,5000.0,33.6,Lost,2026-03-03,Sarah Jenkins
LEAD-00031,Solstice Logistics,Telecommunications,Organic Search,25000.0,66.8,Lost,2026-03-08,Emily Watson
LEAD-00032,CoreTech Technologies,SaaS & Cloud Software,Cold Outreach,25000.0,67.2,New,2025-11-17,Alex Rivera
LEAD-00033,CoreTech Dynamics,Professional Services & Consulting,Cold Outreach,5000.0,60.8,Contacted,2026-07-16,Priya Patel
LEAD-00034,Meridian Technologies,Manufacturing & Industrial,Organic Search,5000.0,28.8,New,2025-10-03,David Kim
LEAD-00035,Stratosphere Innovations,Professional Services & Consulting,Webinar,20000.0,59.1,Proposal Sent,2026-02-15,Michael Chang
LEAD-00036,Quantum Analytics,Telecommunications,Referral,15000.0,72.3,Negotiation,2026-04-27,Emily Watson
LEAD-00037,Elevate Digital,Media & Entertainment,LinkedIn Campaign,20000.0,41.2,Qualified,2026-06-05,Emily Watson
LEAD-00038,Elevate Health,Manufacturing & Industrial,LinkedIn Campaign,8000.0,48.2,Proposal Sent,2026-08-18,Priya Patel
LEAD-00039,Horizon Labs,Financial Services & FinTech,Partner Channel,5000.0,56.0,New,2025-12-10,Michael Chang
LEAD-00040,Synapse Technologies,Retail & E-Commerce,LinkedIn Campaign,45000.0,66.0,Qualified,2026-08-13,Priya Patel
LEAD-00041,Vanguard Enterprises,Media & Entertainment,LinkedIn Campaign,8000.0,62.0,Contacted,2026-08-29,Emily Watson
LEAD-00042,Omni Solutions,Professional Services & Consulting,Cold Outreach,5000.0,44.0,New,2025-11-27,Michael Chang
LEAD-00043,Starlight Labs,Telecommunications,Cold Outreach,5000.0,60.2,New,2026-04-26,Alex Rivera
LEAD-00044,Velocity Labs,Manufacturing & Industrial,Organic Search,5000.0,43.5,Contacted,2025-12-03,Priya Patel
LEAD-00045,Prism Digital,Financial Services & FinTech,Partner Channel,5000.0,64.4,Contacted,2026-02-28,Sarah Jenkins
LEAD-00046,Vertex Dynamics,SaaS & Cloud Software,Webinar,45000.0,95.0,Contacted,2026-04-03,David Kim
LEAD-00047,Vertex Enterprises,Manufacturing & Industrial,Cold Outreach,12000.0,41.6,New,2025-10-19,David Kim
LEAD-00048,Omni Dynamics,SaaS & Cloud Software,LinkedIn Campaign,20000.0,73.5,Qualified,2026-03-12,Michael Chang
LEAD-00049,Solstice Technologies,Financial Services & FinTech,Organic Search,12000.0,36.1,Contacted,2026-04-04,Michael Chang
LEAD-00050,Elevate Analytics,Healthcare & Life Sciences,Referral,35000.0,77.7,Proposal Sent,2025-11-03,Michael Chang
LEAD-00051,Beacon Innovations,Healthcare & Life Sciences,Webinar,45000.0,64.2,Won,2025-10-26,Emily Watson
LEAD-00052,Vertex Health,Healthcare & Life Sciences,Inbound Demo Request,15000.0,49.4,Proposal Sent,2026-05-21,Emily Watson
LEAD-00053,Velocity Capital,SaaS & Cloud Software,LinkedIn Campaign,20000.0,38.0,Qualified,2025-12-25,Michael Chang
LEAD-00054,Nexus Logistics,SaaS & Cloud Software,Partner Channel,5000.0,48.2,Lost,2026-04-05,Emily Watson
LEAD-00055,Acro Technologies,Manufacturing & Industrial,Webinar,20000.0,71.9,Lost,2026-08-16,David Kim
LEAD-00056,Solstice Digital,SaaS & Cloud Software,LinkedIn Campaign,8000.0,65.4,Contacted,2025-10-24,David Kim
LEAD-00057,Acro Systems,Manufacturing & Industrial,Partner Channel,5000.0,39.9,Contacted,2026-03-20,Alex Rivera
LEAD-00058,Solstice Analytics,Financial Services & FinTech,Inbound Demo Request,35000.0,99.0,Proposal Sent,2026-04-27,Emily Watson
LEAD-00059,Hyperion Systems,Professional Services & Consulting,Webinar,45000.0,55.4,Lost,2026-03-09,David Kim
LEAD-00060,CoreTech Capital,Financial Services & FinTech,Organic Search,12000.0,41.5,New,2026-03-22,Sarah Jenkins
LEAD-00061,Stratosphere Global,Healthcare & Life Sciences,Partner Channel,12000.0,55.0,Contacted,2025-11-09,Emily Watson
LEAD-00062,Quantum Digital,SaaS & Cloud Software,Referral,35000.0,78.2,Won,2026-03-09,Alex Rivera
LEAD-00063,Stratosphere Partners,Media & Entertainment,Cold Outreach,12000.0,46.1,Lost,2026-05-15,Emily Watson
LEAD-00064,Apex Enterprises,Manufacturing & Industrial,Referral,60000.0,85.6,Proposal Sent,2026-03-10,Alex Rivera
LEAD-00065,Prism Innovations,Professional Services & Consulting,Referral,35000.0,61.0,Negotiation,2025-11-19,Emily Watson
LEAD-00066,Stratosphere Capital,Manufacturing & Industrial,Webinar,45000.0,40.5,Proposal Sent,2025-11-28,David Kim
LEAD-00067,Elevate Health,Media & Entertainment,Inbound Demo Request,35000.0,57.7,Won,2025-09-15,Priya Patel
LEAD-00068,Quantum Technologies,Professional Services & Consulting,LinkedIn Campaign,8000.0,83.8,Contacted,2026-03-23,Michael Chang
LEAD-00069,Omni Digital,Financial Services & FinTech,Referral,15000.0,76.8,Negotiation,2026-04-12,Sarah Jenkins
LEAD-00070,Starlight Capital,SaaS & Cloud Software,Partner Channel,5000.0,44.0,Contacted,2026-01-02,David Kim
LEAD-00071,Vertex Global,Telecommunications,Cold Outreach,5000.0,64.1,Contacted,2025-12-28,Priya Patel
LEAD-00072,Apex Digital,Financial Services & FinTech,Inbound Demo Request,35000.0,64.2,Proposal Sent,2026-04-15,Sarah Jenkins
LEAD-00073,Hyperion Capital,Financial Services & FinTech,Organic Search,5000.0,60.3,Contacted,2026-05-04,Emily Watson
LEAD-00074,Quantum Enterprises,Manufacturing & Industrial,Partner Channel,5000.0,45.8,New,2025-11-19,Priya Patel
LEAD-00075,Prism Technologies,Financial Services & FinTech,Cold Outreach,5000.0,22.4,New,2025-12-26,Sarah Jenkins
LEAD-00076,Aegis Partners,Retail & E-Commerce,Referral,35000.0,88.6,Qualified,2026-02-01,Priya Patel
LEAD-00077,Starlight Systems,Manufacturing & Industrial,Organic Search,5000.0,17.9,New,2026-05-24,David Kim
LEAD-00078,Pinnacle Partners,SaaS & Cloud Software,Referral,35000.0,89.4,Qualified,2025-09-30,Emily Watson
LEAD-00079,Nexus Innovations,Professional Services & Consulting,Webinar,20000.0,68.3,Proposal Sent,2026-08-03,Sarah Jenkins
LEAD-00080,Elevate Global,Healthcare & Life Sciences,Inbound Demo Request,35000.0,56.7,Proposal Sent,2026-07-28,Emily Watson
LEAD-00081,Acro Solutions,Telecommunications,Partner Channel,12000.0,43.5,New,2026-01-10,David Kim
LEAD-00082,Pinnacle Capital,Manufacturing & Industrial,Referral,15000.0,71.5,Qualified,2025-10-19,Sarah Jenkins
LEAD-00083,Acro Analytics,Telecommunications,Webinar,45000.0,45.8,Lost,2026-01-20,Emily Watson
LEAD-00084,Nexus Health,Retail & E-Commerce,Inbound Demo Request,15000.0,81.3,Proposal Sent,2026-06-01,David Kim
LEAD-00085,Hyperion Digital,Media & Entertainment,Inbound Demo Request,35000.0,90.4,Won,2026-03-02,Michael Chang
LEAD-00086,Catalyst Systems,Media & Entertainment,Partner Channel,25000.0,30.0,Lost,2025-12-10,Michael Chang
LEAD-00087,Starlight Logistics,Telecommunications,Partner Channel,5000.0,67.3,New,2026-04-15,Emily Watson
LEAD-00088,Horizon Dynamics,Telecommunications,Cold Outreach,25000.0,23.4,Lost,2025-09-11,Priya Patel
LEAD-00089,Nexus Digital,Telecommunications,Partner Channel,12000.0,61.3,Qualified,2026-08-29,Alex Rivera
LEAD-00090,Horizon Partners,SaaS & Cloud Software,Organic Search,5000.0,30.3,Lost,2026-07-05,Sarah Jenkins
LEAD-00091,Acro Health,Professional Services & Consulting,Partner Channel,25000.0,49.9,Lost,2025-09-22,David Kim
LEAD-00092,Aura Digital,Manufacturing & Industrial,Referral,60000.0,69.6,Won,2026-04-29,Alex Rivera
LEAD-00093,Vanguard Innovations,SaaS & Cloud Software,Referral,120000.0,79.0,Won,2025-10-10,Alex Rivera
LEAD-00094,Acro Global,Telecommunications,Referral,120000.0,59.2,Won,2026-08-27,Sarah Jenkins
LEAD-00095,Synapse Partners,Professional Services & Consulting,Organic Search,5000.0,26.9,Contacted,2025-12-04,Sarah Jenkins
LEAD-00096,Stratosphere Capital,Retail & E-Commerce,Inbound Demo Request,120000.0,82.6,Won,2026-04-01,Emily Watson
LEAD-00097,Starlight Labs,Financial Services & FinTech,Referral,120000.0,50.5,Proposal Sent,2025-12-05,Emily Watson
LEAD-00098,Solstice Logistics,Media & Entertainment,Webinar,8000.0,43.9,Qualified,2026-08-28,Sarah Jenkins
LEAD-00099,Acro Systems,Telecommunications,LinkedIn Campaign,8000.0,60.5,Qualified,2025-11-03,Alex Rivera
LEAD-00100,Vanguard Digital,Financial Services & FinTech,Referral,60000.0,90.3,Won,2026-02-22,Priya Patel
LEAD-00101,Quantum Digital,SaaS & Cloud Software,Partner Channel,5000.0,15.6,New,2026-07-20,Michael Chang
LEAD-00102,Catalyst Partners,Media & Entertainment,Organic Search,12000.0,26.4,New,2026-01-25,Priya Patel
LEAD-00103,Quantum Systems,SaaS & Cloud Software,Referral,120000.0,87.9,Won,2025-09-17,Alex Rivera
LEAD-00104,Apex Partners,Media & Entertainment,Webinar,8000.0,31.1,Contacted,2025-11-14,Sarah Jenkins
LEAD-00105,Horizon Solutions,Telecommunications,Webinar,8000.0,69.4,Proposal Sent,2026-01-05,Michael Chang
LEAD-00106,Solstice Solutions,Financial Services & FinTech,Referral,60000.0,99.0,Qualified,2026-06-27,Michael Chang
LEAD-00107,Apex Dynamics,Media & Entertainment,Cold Outreach,12000.0,41.0,Qualified,2026-07-07,Alex Rivera
LEAD-00108,Aegis Logistics,Media & Entertainment,Cold Outreach,12000.0,47.2,Contacted,2026-01-04,Emily Watson
LEAD-00109,Starlight Dynamics,Telecommunications,Referral,15000.0,49.0,Lost,2026-03-20,David Kim
LEAD-00110,Aegis Capital,Retail & E-Commerce,Cold Outreach,5000.0,51.8,New,2026-01-06,Alex Rivera
LEAD-00111,Beacon Solutions,Healthcare & Life Sciences,LinkedIn Campaign,45000.0,72.2,Lost,2026-04-11,Alex Rivera
LEAD-00112,Catalyst Capital,Professional Services & Consulting,Cold Outreach,12000.0,42.4,New,2026-06-14,David Kim
LEAD-00113,Aura Dynamics,Retail & E-Commerce,Webinar,20000.0,72.3,Won,2026-04-26,Michael Chang
LEAD-00114,Solstice Partners,Healthcare & Life Sciences,Webinar,8000.0,66.7,Qualified,2026-08-03,David Kim
LEAD-00115,Apex Partners,Professional Services & Consulting,LinkedIn Campaign,8000.0,72.7,Qualified,2026-02-20,Emily Watson
LEAD-00116,Synapse Logistics,Manufacturing & Industrial,LinkedIn Campaign,8000.0,57.7,Qualified,2026-02-15,Alex Rivera
LEAD-00117,Vanguard Health,Financial Services & FinTech,LinkedIn Campaign,20000.0,65.8,Proposal Sent,2026-08-18,Priya Patel
LEAD-00118,Quantum Labs,Manufacturing & Industrial,Inbound Demo Request,60000.0,67.1,Won,2026-02-18,Michael Chang
LEAD-00119,Apex Dynamics,Retail & E-Commerce,Partner Channel,5000.0,20.5,Contacted,2025-10-07,Priya Patel
LEAD-00120,CoreTech Labs,Professional Services & Consulting,Cold Outreach,5000.0,49.5,New,2026-01-07,Michael Chang
LEAD-00121,Starlight Dynamics,Professional Services & Consulting,LinkedIn Campaign,45000.0,75.6,Won,2025-09-20,David Kim
LEAD-00122,Acro Digital,SaaS & Cloud Software,Partner Channel,5000.0,27.6,New,2026-08-18,David Kim
LEAD-00123,Nexus Global,Manufacturing & Industrial,Organic Search,5000.0,29.1,New,2025-11-13,Emily Watson
LEAD-00124,Hyperion Labs,Healthcare & Life Sciences,Referral,15000.0,81.4,Proposal Sent,2025-12-02,Michael Chang
LEAD-00125,Prism Solutions,Manufacturing & Industrial,LinkedIn Campaign,20000.0,85.2,Contacted,2026-07-19,Priya Patel
LEAD-00126,Synapse Capital,Healthcare & Life Sciences,Partner Channel,5000.0,51.9,Contacted,2026-01-07,Sarah Jenkins
LEAD-00127,Synapse Analytics,Financial Services & FinTech,LinkedIn Campaign,8000.0,64.1,Qualified,2026-05-15,Michael Chang
LEAD-00128,Vanguard Solutions,Telecommunications,Partner Channel,12000.0,64.0,Lost,2026-05-30,Michael Chang
LEAD-00129,Velocity Capital,SaaS & Cloud Software,Referral,35000.0,99.0,Won,2025-12-12,Emily Watson
LEAD-00130,Solstice Enterprises,Financial Services & FinTech,Cold Outreach,5000.0,35.7,Lost,2026-03-16,Priya Patel
LEAD-00131,Vertex Labs,Telecommunications,Referral,35000.0,85.6,Negotiation,2026-01-23,Alex Rivera
LEAD-00132,Velocity Technologies,Financial Services & FinTech,Webinar,20000.0,58.3,Contacted,2026-03-07,Alex Rivera
LEAD-00133,Quantum Labs,Healthcare & Life Sciences,Organic Search,12000.0,33.2,Lost,2026-02-15,David Kim
LEAD-00134,Prism Labs,Media & Entertainment,Cold Outreach,5000.0,59.3,New,2026-01-21,Alex Rivera
LEAD-00135,Vanguard Capital,Media & Entertainment,Cold Outreach,25000.0,41.6,Lost,2026-08-06,Michael Chang
LEAD-00136,Solstice Partners,Retail & E-Commerce,Partner Channel,5000.0,31.1,New,2025-12-25,David Kim
LEAD-00137,Zenith Systems,Telecommunications,Partner Channel,5000.0,30.8,New,2026-03-28,David Kim
LEAD-00138,Apex Digital,Healthcare & Life Sciences,Webinar,8000.0,63.2,Proposal Sent,2026-08-23,Michael Chang
LEAD-00139,Nexus Health,Financial Services & FinTech,Webinar,20000.0,68.6,Proposal Sent,2026-03-28,Michael Chang
LEAD-00140,Aura Digital,Media & Entertainment,Inbound Demo Request,60000.0,61.9,Won,2026-05-07,Priya Patel
LEAD-00141,Horizon Labs,Financial Services & FinTech,Webinar,20000.0,30.1,Contacted,2026-05-11,Emily Watson
LEAD-00142,Zenith Enterprises,Healthcare & Life Sciences,Cold Outreach,12000.0,35.1,Won,2026-02-11,Sarah Jenkins
LEAD-00143,Prism Labs,Financial Services & FinTech,Organic Search,5000.0,67.8,Contacted,2026-08-17,Emily Watson
LEAD-00144,Apex Health,Professional Services & Consulting,Webinar,20000.0,68.7,Contacted,2026-04-28,Sarah Jenkins
LEAD-00145,Nexus Labs,Retail & E-Commerce,LinkedIn Campaign,20000.0,28.8,Contacted,2026-03-22,Sarah Jenkins
LEAD-00146,Aegis Health,Healthcare & Life Sciences,LinkedIn Campaign,8000.0,56.1,Qualified,2026-03-02,Sarah Jenkins
LEAD-00147,Quantum Technologies,Retail & E-Commerce,Cold Outreach,12000.0,57.4,Contacted,2025-12-10,Michael Chang
LEAD-00148,CoreTech Analytics,Telecommunications,Inbound Demo Request,120000.0,69.1,Negotiation,2025-10-22,Priya Patel
LEAD-00149,Quantum Digital,Retail & E-Commerce,Partner Channel,25000.0,13.8,Lost,2026-01-29,Michael Chang
LEAD-00150,Stratosphere Enterprises,SaaS & Cloud Software,Organic Search,5000.0,76.6,New,2026-08-03,Sarah Jenkins
LEAD-00151,Vertex Systems,Telecommunications,Partner Channel,5000.0,54.1,New,2025-12-18,Sarah Jenkins
LEAD-00152,Elevate Enterprises,Professional Services & Consulting,LinkedIn Campaign,20000.0,73.0,Won,2025-10-21,Michael Chang
LEAD-00153,Omni Digital,Professional Services & Consulting,Webinar,20000.0,34.3,Lost,2025-11-06,Alex Rivera
LEAD-00154,Aegis Innovations,Media & Entertainment,Webinar,45000.0,38.9,Qualified,2026-06-08,David Kim
LEAD-00155,Aegis Innovations,SaaS & Cloud Software,Organic Search,5000.0,38.0,Contacted,2026-03-31,Michael Chang
LEAD-00156,Hyperion Enterprises,Financial Services & FinTech,Referral,35000.0,80.1,Proposal Sent,2025-09-30,Sarah Jenkins
LEAD-00157,Solstice Analytics,Financial Services & FinTech,Organic Search,12000.0,57.5,Contacted,2026-04-23,Michael Chang
LEAD-00158,Apex Labs,Healthcare & Life Sciences,Webinar,8000.0,76.2,Contacted,2026-07-22,David Kim
LEAD-00159,Aura Logistics,Manufacturing & Industrial,Organic Search,5000.0,45.8,Lost,2026-06-22,Emily Watson
LEAD-00160,Beacon Dynamics,Media & Entertainment,Webinar,8000.0,40.9,Contacted,2026-04-14,Michael Chang
LEAD-00161,CoreTech Enterprises,Manufacturing & Industrial,Organic Search,12000.0,19.2,New,2026-03-25,Michael Chang
LEAD-00162,Catalyst Digital,Professional Services & Consulting,LinkedIn Campaign,20000.0,65.7,Won,2026-07-02,Alex Rivera
LEAD-00163,Pinnacle Systems,Retail & E-Commerce,Partner Channel,5000.0,21.7,Qualified,2025-12-10,Priya Patel
LEAD-00164,Catalyst Labs,Professional Services & Consulting,Inbound Demo Request,60000.0,99.0,Won,2025-11-14,Sarah Jenkins
LEAD-00165,Nexus Dynamics,Manufacturing & Industrial,Inbound Demo Request,35000.0,64.6,Proposal Sent,2025-10-14,Sarah Jenkins
LEAD-00166,Elevate Digital,Media & Entertainment,Webinar,8000.0,78.6,Won,2026-02-09,David Kim
LEAD-00167,Beacon Logistics,Media & Entertainment,Cold Outreach,5000.0,51.9,New,2026-05-31,David Kim
LEAD-00168,Synapse Capital,Telecommunications,LinkedIn Campaign,8000.0,43.5,Lost,2026-05-22,Sarah Jenkins
LEAD-00169,Cognitive Capital,Healthcare & Life Sciences,Partner Channel,12000.0,69.3,Lost,2026-06-28,Michael Chang
LEAD-00170,Elevate Technologies,Retail & E-Commerce,Referral,35000.0,94.0,Won,2026-08-19,Emily Watson
LEAD-00171,Hyperion Technologies,Retail & E-Commerce,Cold Outreach,12000.0,32.4,Qualified,2026-05-02,Alex Rivera
LEAD-00172,Prism Solutions,SaaS & Cloud Software,Webinar,20000.0,80.1,Proposal Sent,2026-08-23,Alex Rivera
LEAD-00173,Zenith Labs,SaaS & Cloud Software,Referral,35000.0,73.2,Proposal Sent,2026-06-25,Priya Patel
LEAD-00174,Stratosphere Technologies,Financial Services & FinTech,Cold Outreach,5000.0,43.1,New,2026-04-03,Sarah Jenkins
LEAD-00175,Vanguard Dynamics,Telecommunications,Webinar,8000.0,38.6,Proposal Sent,2026-06-21,Alex Rivera
LEAD-00176,Elevate Capital,Telecommunications,Partner Channel,12000.0,74.4,New,2026-07-10,Michael Chang
LEAD-00177,Cognitive Global,Telecommunications,LinkedIn Campaign,8000.0,49.5,Proposal Sent,2026-05-26,David Kim
LEAD-00178,Beacon Analytics,Manufacturing & Industrial,Organic Search,25000.0,42.0,Lost,2026-05-04,Priya Patel
LEAD-00179,Solstice Solutions,Professional Services & Consulting,Inbound Demo Request,60000.0,84.8,Won,2026-06-17,Alex Rivera
LEAD-00180,Cognitive Labs,Financial Services & FinTech,Webinar,20000.0,61.0,Won,2026-08-04,Alex Rivera
LEAD-00181,Vertex Health,SaaS & Cloud Software,Organic Search,12000.0,48.6,New,2025-12-03,Alex Rivera
LEAD-00182,Zenith Labs,Telecommunications,Referral,15000.0,68.5,Proposal Sent,2026-06-18,Michael Chang
LEAD-00183,Pinnacle Health,SaaS & Cloud Software,Organic Search,12000.0,58.6,Contacted,2026-05-25,Alex Rivera
LEAD-00184,Pinnacle Labs,Retail & E-Commerce,Inbound Demo Request,60000.0,67.4,Qualified,2025-11-13,Priya Patel
LEAD-00185,Omni Enterprises,Telecommunications,Cold Outreach,12000.0,32.8,Lost,2026-07-25,David Kim
LEAD-00186,Omni Enterprises,Healthcare & Life Sciences,Inbound Demo Request,35000.0,96.0,Proposal Sent,2025-12-02,Sarah Jenkins
LEAD-00187,Zenith Solutions,SaaS & Cloud Software,LinkedIn Campaign,8000.0,51.2,Proposal Sent,2025-10-24,Emily Watson
LEAD-00188,Apex Health,SaaS & Cloud Software,Organic Search,5000.0,39.6,Qualified,2025-10-03,Alex Rivera
LEAD-00189,Velocity Partners,SaaS & Cloud Software,Webinar,20000.0,68.5,Won,2025-12-18,Alex Rivera
LEAD-00190,Pinnacle Labs,Financial Services & FinTech,Cold Outreach,5000.0,62.1,Qualified,2026-06-08,Michael Chang
LEAD-00191,Quantum Logistics,Media & Entertainment,Referral,35000.0,59.8,Negotiation,2026-04-23,Sarah Jenkins
LEAD-00192,Omni Technologies,Retail & E-Commerce,Organic Search,5000.0,18.1,New,2026-08-21,Emily Watson
LEAD-00193,Omni Labs,Telecommunications,Webinar,20000.0,54.6,Qualified,2026-06-14,David Kim
LEAD-00194,Cognitive Capital,Healthcare & Life Sciences,Webinar,8000.0,57.7,Proposal Sent,2026-03-30,David Kim
LEAD-00195,Prism Technologies,Financial Services & FinTech,Organic Search,12000.0,41.0,Qualified,2026-08-19,Priya Patel
LEAD-00196,Omni Digital,Media & Entertainment,Partner Channel,5000.0,41.9,Won,2026-03-21,Sarah Jenkins
LEAD-00197,Zenith Logistics,Professional Services & Consulting,Inbound Demo Request,15000.0,85.7,Won,2025-11-01,Emily Watson
LEAD-00198,Velocity Systems,Professional Services & Consulting,Partner Channel,12000.0,34.6,Qualified,2025-12-30,Sarah Jenkins
LEAD-00199,Aegis Enterprises,Financial Services & FinTech,LinkedIn Campaign,8000.0,36.9,Qualified,2025-12-31,Alex Rivera
LEAD-00200,Quantum Capital,Healthcare & Life Sciences,Cold Outreach,5000.0,36.0,Lost,2026-01-13,Emily Watson
LEAD-00201,Catalyst Technologies,SaaS & Cloud Software,LinkedIn Campaign,45000.0,66.9,Lost,2026-08-19,Priya Patel
LEAD-00202,Aura Health,Healthcare & Life Sciences,Referral,15000.0,75.3,Proposal Sent,2025-11-16,Michael Chang
LEAD-00203,Stratosphere Health,SaaS & Cloud Software,Inbound Demo Request,60000.0,95.1,Won,2026-04-24,Sarah Jenkins
LEAD-00204,Aegis Technologies,Telecommunications,Inbound Demo Request,60000.0,99.0,Won,2026-07-03,Emily Watson
LEAD-00205,Zenith Digital,Retail & E-Commerce,Cold Outreach,5000.0,66.5,Won,2026-02-18,David Kim
LEAD-00206,Velocity Labs,Financial Services & FinTech,Cold Outreach,12000.0,67.7,Lost,2026-04-24,Emily Watson
LEAD-00207,Elevate Partners,SaaS & Cloud Software,Webinar,45000.0,44.5,Contacted,2026-01-13,Priya Patel
LEAD-00208,Velocity Systems,SaaS & Cloud Software,Webinar,8000.0,45.2,Won,2025-09-25,David Kim
LEAD-00209,Vanguard Analytics,Professional Services & Consulting,Cold Outreach,5000.0,50.1,New,2026-06-13,Priya Patel
LEAD-00210,Aura Partners,Financial Services & FinTech,Cold Outreach,12000.0,69.6,New,2026-05-24,Alex Rivera
LEAD-00211,Zenith Technologies,Financial Services & FinTech,Cold Outreach,5000.0,83.0,New,2025-11-02,Alex Rivera
LEAD-00212,Vertex Analytics,SaaS & Cloud Software,Partner Channel,12000.0,60.1,Contacted,2026-06-28,David Kim
LEAD-00213,Zenith Enterprises,Retail & E-Commerce,Partner Channel,25000.0,35.8,Contacted,2026-06-15,Michael Chang
LEAD-00214,Acro Solutions,Financial Services & FinTech,Webinar,8000.0,42.4,Qualified,2025-10-08,Michael Chang
LEAD-00215,Quantum Technologies,Healthcare & Life Sciences,Cold Outreach,5000.0,75.6,Qualified,2026-01-28,David Kim
LEAD-00216,Apex Global,Financial Services & FinTech,LinkedIn Campaign,20000.0,83.9,Won,2025-10-10,David Kim
LEAD-00217,Quantum Partners,Professional Services & Consulting,Webinar,20000.0,56.9,Contacted,2026-07-31,Emily Watson
LEAD-00218,Vertex Technologies,Telecommunications,LinkedIn Campaign,20000.0,64.0,Qualified,2026-01-21,Sarah Jenkins
LEAD-00219,Acro Global,Telecommunications,LinkedIn Campaign,45000.0,79.1,Qualified,2026-06-03,Sarah Jenkins
LEAD-00220,Synapse Innovations,Financial Services & FinTech,Cold Outreach,12000.0,22.6,Lost,2026-08-28,Alex Rivera
LEAD-00221,Meridian Labs,Financial Services & FinTech,LinkedIn Campaign,8000.0,42.7,Contacted,2026-01-30,Emily Watson
LEAD-00222,Vanguard Labs,Healthcare & Life Sciences,LinkedIn Campaign,45000.0,57.1,Contacted,2026-03-10,David Kim
LEAD-00223,Velocity Innovations,Media & Entertainment,Partner Channel,12000.0,53.6,Contacted,2026-05-13,Sarah Jenkins
